"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","Validar resposta para parâmetros extras","0"
"0","","0","","1","0","Erro ao buscar imagens de raça inexistente","0"
"0","Dog API","0","Listar Raças","1","0","Validar estrutura do JSON de raças","0"
"0","","0","","1","0","Validar aleatoriedade da imagem","0"
"0","","0","","1","0","Buscar imagem aleatória","0"
"0","","0","","1","0","Buscar imagens de raça válida","0"
"0","","0","","1","0","Erro ao buscar imagens de raça com sub-raça inexistente","0"
"0","Dog API","0","Listar Raças","1","0","Listar todas as raças","0"
"0","","0","","1","0","Buscar imagens de raça com sub-raça válida","0"
